Teton County, Wyoming, Average Temperature
199112,13.8,-1.5
199201,15.2,1.2
199202,24.7,6.9
199203,31.8,8.9
199204,37.8,5.4
199205,46.7,5
199206,51,1.7
199207,53.3,-3.7
199208,56.1,0.7
199209,46,-0.9
199210,39.2,2.5
199211,19.1,-4.4
199212,11.8,-3.5
199301,12.5,-1.5
199302,15,-2.8
199303,26.4,3.5
199304,30.9,-1.5
199305,44.1,2.4
199306,46.5,-2.8
199307,49,-8
199308,51.9,-3.5
199309,45.9,-1
199310,36.1,-0.6
199311,17.8,-5.7
199312,15.3,0
199401,19.3,5.3
199402,16.6,-1.2
199403,27,4.1
199404,34.8,2.4
199405,46.2,4.5
199406,51.3,2
199407,57.8,0.8
199408,58.6,3.2
199409,50.3,3.4
199410,35.1,-1.6
199411,16.4,-7.1
199412,17.7,2.4
199501,16.5,2.5
199502,24.1,6.3
199503,24.2,1.3
199504,31,-1.4
199505,39.4,-2.3
199506,47.3,-2
199507,54.9,-2.1
199508,56,0.6
199509,47.8,0.9
199510,33.2,-3.5
199511,27.4,3.9
199512,17.6,2.3
199601,14,0
199602,17.9,0.1
199603,24.6,1.7
199604,31.5,-0.9
199605,39.1,-2.6
199606,51.7,2.4
199607,58.4,1.4
199608,56.4,1
199609,44.5,-2.4
199610,35.9,-0.8
199611,25.2,1.7
199612,17.9,2.6
199701,15.1,1.1
199702,15.5,-2.3
199703,25.2,2.3
199704,29.1,-3.3
199705,42.7,1
199706,51.6,2.3
199707,55.3,-1.7
199708,56.4,1
199709,49.1,2.2
199710,35.4,-1.3
199711,23.8,0.3
199712,13.9,-1.4
199801,19.6,5.6
199802,19.6,1.8
199803,23.7,0.8
199804,32.5,0.1
199805,42,0.3
199806,44.2,-5.1
199807,60.5,3.5
199808,57.7,2.3
199809,51.9,5
199810,36.8,0.1
199811,26.8,3.3
199812,14.6,-0.7
199901,18.7,4.7
199902,18.8,1
199903,24.8,1.9
199904,30,-2.4
199905,38.8,-2.9
199906,47.7,-1.6
199907,56.1,-0.9
199908,56.4,1
199909,44.6,-2.3
199910,38.7,2
199911,31.9,8.4
199912,17.2,1.9
200001,18.8,4.8
200002,23.8,6
200003,25.3,2.4
200004,36.6,4.2
200005,42.8,1.1
200006,50.1,0.8
200007,58.5,1.5
200008,57.9,2.5
200009,46.4,-0.5
200010,37,0.3
200011,16.7,-6.8
200012,15.2,-0.1
200101,14.4,0.4
200102,17.6,-0.2
200103,27.6,4.7
200104,33.3,0.9
200105,43.9,2.2
200106,50.4,1.1
200107,58.6,1.6
200108,59.1,3.7
200109,50.5,3.6
200110,36,-0.7
200111,29,5.5
200112,14.1,-1.2
200201,14.8,0.8
200202,14.7,-3.1
200203,21.8,-1.1
200204,33.2,0.8
200205,40.7,-1
200206,50.5,1.2
200207,60.2,3.2
200208,53.6,-1.8
200209,47.3,0.4
200210,32.7,-4
200211,22.3,-1.2
200212,18.8,3.5
200301,23.5,9.5
200302,15.8,-2
200303,27.4,4.5
200304,34.4,2
200305,43,1.3
200306,49.1,-0.2
200307,61.5,4.5
200308,59.2,3.8
200309,46.2,-0.7
200310,40.2,3.5
200311,18.1,-5.4
200312,19.5,4.2
200401,15.5,1.5
200402,18.1,0.3
200403,30.7,7.8
200404,36.6,4.2
200405,40.6,-1.1
200406,49,-0.3
200407,56.4,-0.6
200408,53.8,-1.6
200409,46.1,-0.8
200410,37,0.3
200411,24.7,1.2
200412,20,4.7
200501,21,7
200502,18.7,0.9
200503,26.3,3.4
200504,33.8,1.4
200505,41.6,-0.1
200506,47,-2.3
200507,58.2,1.2
200508,54.7,-0.7
200509,45.8,-1.1
200510,38.6,1.9
200511,24.3,0.8
200512,15.1,-0.2
200601,18.9,4.9
200602,15.6,-2.2
200603,22.6,-0.3
200604,36.1,3.7
200605,43.8,2.1
200606,52.5,3.2
200607,60.9,3.9
200608,54.8,-0.6
200609,46.4,-0.5
200610,34.5,-2.2
200611,24.8,1.3
200612,16.4,1.1
200701,10.4,-3.6
200702,22.1,4.3
200703,30.9,8
200704,35.8,3.4
200705,43.9,2.2
200706,52.4,3.1
200707,63.4,6.4
200708,57.5,2.1
200709,48.1,1.2
200710,36.5,-0.2
200711,26.3,2.8
200712,14.6,-0.7
200801,11.7,-2.3
200802,19.1,1.3
200803,20.2,-2.7
200804,27,-5.4
200805,40,-1.7
200806,48,-1.3
200807,57.8,0.8
200808,56.2,0.8
200809,46.6,-0.3
200810,36.7,0
200811,28.7,5.2
200812,15.3,0
200901,17.7,3.7
200902,19.3,1.5
200903,24.2,1.3
200904,32.8,0.4
200905,42.6,0.9
200906,47.7,-1.6
200907,55.6,-1.4
200908,54.2,-1.2
200909,51.6,4.7
200910,30.7,-6
200911,25.6,2.1
200912,11.7,-3.6
201001,18.3,4.3
201002,18.3,0.5
201003,27.2,4.3
201004,32,-0.4
201005,36,-5.7
201006,48.3,-1
201007,56,-1
201008,54.4,-1
201009,48.6,1.7
201010,40,3.3
201011,22.5,-1
201012,19.6,4.3
201101,16.4,2.4
201102,15.1,-2.7
201103,25.4,2.5
201104,29.2,-3.2
201105,37.8,-3.9
201106,46.9,-2.4
201107,57,0
201108,57.1,1.7
201109,50.1,3.2
201110,38.5,1.8
201111,21.4,-2.1
201112,14.2,-1.1
201201,18.7,4.7
201202,17.6,-0.2
201203,30,7.1
201204,37.3,4.9
201205,41.6,-0.1
201206,50.7,1.4
201207,60.1,3.1
201208,58.5,3.1
201209,49.8,2.9
201210,35.4,-1.3
201211,28.3,4.8
201212,16.4,1.1
201301,12.8,-1.2
201302,17.7,-0.1
201303,24.1,1.2
201304,29.9,-2.5
201305,43,1.3
201306,51.2,1.9
201307,59.4,2.4
201308,58.4,3
201309,48.8,1.9
201310,34,-2.7
201311,25.2,1.7
201312,12.2,-3.1
201401,17.2,3.2
201402,18.9,1.1
201403,26.8,3.9
201404,32,-0.4
201405,43.5,1.8
201406,47.9,-1.4
201407,58.4,1.4
201408,53.8,-1.6
201409,48.6,1.7
201410,39.8,3.1
201411,22.6,-0.9
201412,20.6,5.3
201501,20.2,6.2
201502,24.9,7.1
201503,30.8,7.9
201504,35,2.6
201505,43.3,1.6
201506,55.4,6.1
201507,55,-2
201508,55.7,0.3
201509,50,3.1
201510,42.3,5.6
201511,21.5,-2
201512,15.6,0.3
201601,18.7,4.7
201602,23.6,5.8
201603,27.3,4.4
201604,37.5,5.1
201605,42.4,0.7
201606,54,4.7
201607,56.8,-0.2
201608,55.7,0.3
201609,48,1.1
201610,38.3,1.6
201611,30.8,7.3
201612,10.9,-4.4
201701,11.6,-2.4
201702,23.7,5.9
201703,32.5,9.6
201704,33.3,0.9
201705,42.8,1.1
201706,50.8,1.5
201707,59.9,2.9
201708,56.2,0.8
201709,47.2,0.3
201710,34.3,-2.4
201711,26.9,3.4
201712,18.5,3.2
201801,21.3,7.3
201802,18.2,0.4
201803,24.8,1.9
201804,34.2,1.8
201805,45.9,4.2
201806,50.3,1
201807,59,2
201808,55.6,0.2
201809,49.3,2.4
201810,36.3,-0.4
201811,22.2,-1.3
201812,15.4,0.1
201901,16.3,2.3
201902,16.3,-1.5
201903,23.3,0.4
201904,35,2.6
201905,40.2,-1.5
201906,48.6,-0.7
201907,57.7,0.7
201908,56.8,1.4
201909,47.7,0.8
201910,27.5,-9.2
201911,26.2,2.7
201912,17.3,2
202001,19.6,5.6
202002,15,-2.8
202003,27.3,4.4
202004,31.6,-0.8
202005,43,1.3
202006,48.7,-0.6
202007,56.2,-0.8
202008,58.8,3.4
202009,48.8,1.9
202010,36.3,-0.4
202011,23.7,0.2
202012,16.3,1
202101,16.5,2.5
